CaseNumber,Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,PRSM,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Loan.Type,Loan.Size.Class,FICO,Years.In.Business,Num.of.Credit.Lines,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,State,ISO.Name
163416466,16047,50800,59690,0.5377,12.5,1016,55250,26518.6667,R,S4,531,1,14,5,1,9,LLC,1,0,58,Eating and Drinking Places,19154,177000,51858,NH,Loan Masters
121413118,34158,41000,48790,1.4002,7.5,4526.4,69400,74088.5,R,S3,507,16,52,28,4,17,LLC,1,0,58,Eating and Drinking Places,15209,243300,97403,DE,Credit Divas
40114807,7398,20000,23100,0.6405,12.5,1396,14926.98,14925.7192,O,S2,611,3,20,10,1,2,LLC,2,1,53,General Merchandise Stores,4823,56900,24897,KY,Loan Masters
74616766,15474,36000,41400,0.7475,10,2160,37725.56,37725.5,O,S3,473,1,17,10,0,5,LLC,1,0,53,General Merchandise Stores,9574,74700,27488,FL,Loan Masters
333313873,7054,12200,14200,0.9935,12.5,1197.98,10188.36,10188.4236,O,S2,690,5,16,8,1,3,LLC,0,0,53,General Merchandise Stores,35592,104100,40477,VA,Credit Divas
125113897,17182,29400,34839,0.9864,5,1764,99238.14,99238.14,O,S3,712,6,23,10,0,0,LLC,0,0,75,Auto Repair Services and Parking,15726,138600,51705,VT,Loan Masters
92010963,16115,23400,27495,1.1722,12.5,631.8,31412.34,31412.4444,R,S3,580,10,30,18,4,0,LLC,3,0,51,Wholesale Trade-Nondurable Goods,11794,325400,66947,FL,Loan Masters
147316006,23929,66000,80850,0.5919,12.5,7493.32,42412.78,51334.4,O,S4,649,7,17,9,2,3,LLC,1,1,79,Amusement and Recreational Services,17749,118600,44096,OH,Loan Masters
86212582,19810,37200,43710,0.9064,12.5,3013.2,32986.92,26573.8739,O,S3,579,6,21,11,3,2,LLC,0,0,54,Food Stores,11250,576000,36671,SC,Loan Masters
234116766,46901,95000,113050,0.8297,12.5,13110,74915.28,74915.3333,O,S4,630,26,20,8,0,4,LLC,1,12,58,Eating and Drinking Places,25506,129400,34424,SC,Credit Divas
